Date,Value
12/31/14,53.45
9/30/14,91.17
6/30/14,106.07
3/31/14,101.57
12/31/13,98.17
9/30/13,102.36
6/30/13,96.36
3/31/13,97.24
12/31/12,91.83
9/30/12,92.18
6/30/12,85.04
3/31/12,103.03
12/31/11,98.83
9/30/11,78.93
6/30/11,95.3
3/31/11,106.19
12/31/10,91.38
9/30/10,79.95
6/30/10,75.59
3/31/10,83.45
12/31/09,79.39
9/30/09,70.46
6/30/09,69.82
3/31/09,49.64
12/31/08,44.6
9/30/08,100.7
6/30/08,139.96
3/31/08,101.54
12/31/07,95.95
9/30/07,81.64
6/30/07,70.47
3/31/07,65.94
12/31/06,60.85
9/30/06,62.9
6/30/06,73.94
3/31/06,66.25
12/31/05,61.06
9/30/05,66.21
6/30/05,56.63
3/31/05,55.31
12/31/04,43.36
9/30/04,49.56
6/30/04,36.92
3/31/04,35.75
12/31/03,32.51
9/30/03,29.19
6/30/03,30.15
3/31/03,31.14
12/31/02,31.21
9/30/02,30.59
6/30/02,26.79
3/31/02,26.21
12/31/01,19.96
9/30/01,23.44
6/30/01,26.37
3/31/01,26.37
12/31/00,26.72
9/30/00,30.87
6/30/00,32.44
3/31/00,26.86
12/31/99,25.76
9/30/99,24.54
6/30/99,19.33
3/31/99,16.66
12/31/98,12.14
9/30/98,16.19
6/30/98,14.3
3/31/98,15.75
12/31/97,17.65
9/30/97,21.13
6/30/97,19.82
3/31/97,20.35
12/31/96,25.9
9/30/96,24.2
6/30/96,20.92
3/31/96,21.43
12/31/95,19.54
9/30/95,17.54
6/30/95,17.38
3/31/95,19.18
