Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
1,NCT02188875,Fitbit One and Text Messaging Prompts to Promote Physical Activity in Overweight/Obese Adults,Completed,No Results Available,Health Behavior|Obesity,Behavioral: SMS Text Messages & Fitbit One|Behavioral: Fitbit One Only,"Julie Wang|Carol Vassiliadis Family|University of California, San Diego",Both,Adult|Senior,,67,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Single Blind (Investigator),130024,10-Jul-14,Jan-13,Jan-14,11-Jul-14,Jul-14,No Study Results Posted,Text2bfit,Jan-14,steps per day (Actigraph GT3X+)|Minutes per week of physical activity by intensity level (Actigraph GT3X+),http://ClinicalTrials.gov/show/NCT02188875
2,NCT01693250,iStart Smart for Teens for Healthy Weight Management,Not yet recruiting,No Results Available,Overweight|Obese,Device: fitbit Ultra|Device: Pedometer,"University of California, San Francisco",Both,Child|Adult,Phase 1|Phase 2,60,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,TEENS-2012,19-Sep-12,May-15,Dec-16,14-Aug-14,Aug-14,No Study Results Posted,null,Dec-15,Body mass index (BMI)|Physical activity,http://ClinicalTrials.gov/show/NCT01693250
3,NCT02031185,A Wearable mHealth Device to Promote Teenagers' Physical Activity,"Active, not recruiting",No Results Available,Physical Activity,Behavioral: FitBit only|Behavioral: FitBit and Text Messages,Seattle Children's Hospital,Both,Child|Adult,,40,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,SCRI-24100018,7-Jan-14,Mar-14,null,6-Nov-14,Nov-14,No Study Results Posted,null,Dec-14,Post-intervention daily steps|Pre-intervention daily steps|Pre-intervention moderate-to-vigorous physical activity (MVPA)|Post-intervention moderate-to-vigorous physical activity,http://ClinicalTrials.gov/show/NCT02031185
4,NCT02320513,A Comparison of Physical Activity Levels With and Without Feedback Via FitbitÂ® Flexâ„¢ in Hemodialysis Patients,Recruiting,No Results Available,End Stage Renal Disease,Other: Wearing activty monitoring device (Fitbit Flex)|Device: Fitbit Flex,Renal Research Institute,Both,Adult|Senior,,40,Other,Observational,Observational Model: Case Control|Time Perspective: Prospective,20141534,3-Nov-14,Oct-14,null,15-Dec-14,Dec-14,No Study Results Posted,IAM,Feb-15,The effect of physical activity feedback on physical activity levels.,http://ClinicalTrials.gov/show/NCT02320513
5,NCT01855776,A Randomized Trial of Economic Incentives to Promote Walking Among Full Time Employees,"Active, not recruiting",No Results Available,Physical Activity,Device: Fitbit|Behavioral: Cash Incentives|Behavioral: Charitable Incentives|Other: Usual Care,"Duke-NUS Graduate Medical School|Health Promotion Board, Singapore",Both,Adult,,800,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Masking: Open Label,HSRG10NOV002,8-Aug-12,May-13,Dec-14,1-Oct-14,Oct-14,No Study Results Posted,null,Dec-14,"Changes in MVPA (Moderate-to-Vigorous Physical Activity) bouts of participants from baseline to months 6 and 12|Change in VO2Max of participants from baseline to months 6, and 12.",http://ClinicalTrials.gov/show/NCT01855776
6,NCT02315664,MONITOR-OA: Using Wearable Activity Trackers to Improve Physical Activity in Knee Osteoarthritis,Not yet recruiting,No Results Available,Knee Osteoarthritis|Joint Diseases,"Behavioral: Education session, Fitbit Flex, and remote coaching by a PT|Behavioral: Same intervention with a 2 month delay",University of British Columbia|Simon Fraser University|Arthritis Research Centre of Canada|Vancouver General Hospital,Both,Adult|Senior,,60,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Supportive Care|Masking: Single Blind (Outcomes Assessor),H14-01762,17-Nov-14,Dec-14,Dec-16,9-Dec-14,Dec-14,No Study Results Posted,null,Dec-15,Time spent in Moderate to Vigorous Physical Activity (MVPA)|Time spent in sedentary behaviors|Knee Injury and OA Outcome Score (KOOS)|Partners in Health Scale,http://ClinicalTrials.gov/show/NCT02315664
7,NCT02313506,Feasibility and Preliminary Efficacy of an Activity Tracker-driven Intervention for Promoting Physical Activity in People Living With Osteoarthritis of the Knee,Not yet recruiting,No Results Available,Knee Osteoarthritis|Joint Diseases,"Behavioral: Education session, Fitbit Flex, and remote coaching by a PT|Behavioral: Same intervention with a 1 month delay",University of British Columbia|Arthritis Research Centre of Canada|Vancouver General Hospital,Both,Child|Adult|Senior,,30,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Supportive Care|Masking: Open Label,H14-02631,8-Dec-14,Dec-14,Apr-15,9-Dec-14,Dec-14,No Study Results Posted,TRACK-OA,Apr-15,Time spent in Moderate to Vigorous Physical Activity (MVPA)|Time spent in sedentary behaviors|Knee Injury and OA Outcome Score (KOOS)|Partners in Health Scale,http://ClinicalTrials.gov/show/NCT02313506
8,NCT01502007,Activity Monitoring and Counseling in a Geriatric Population,Completed,No Results Available,Overweight|Obesity,Other: Accelerometer feedback and lifestyle counseling|Other: Accelerometer without Feedback,Mayo Clinic|JR Albert Foundation,Both,Adult|Senior,,50,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,09-008672,29-Nov-11,Apr-11,Mar-13,5-Jun-14,Jun-14,No Study Results Posted,null,Mar-13,Change in Activity units as determined by Accelerometry|Body weight in kilograms|Body fat by bone density scan (DEXA)|Waist to hip ratio|Fasting glucose|Hemoglobin A1c|Fasting insulin|Fasting lipid profile|high sensitivity c-reactive protein|Body Mass Index,http://ClinicalTrials.gov/show/NCT01502007
9,NCT02294513,Hearing Instruments in Alzheimer's Disease,Recruiting,No Results Available,Alzheimer Disease|Hearing Loss,Device: Standard audiologic rehabilitation (incl. HI)|Device: Activity tracker,"Phonak AG, Switzerland|University of Toronto|Baycrest Centre for Geriatric Care",Both,Adult|Senior,,120,Industry|Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,CHPHST101659-03HIAD,31-Oct-14,Oct-14,Jul-16,14-Nov-14,Nov-14,No Study Results Posted,HIAD,Jul-16,Client Oriented Scale of Improvement (COSI): Change over 3months|Hearing Handicap Inventory of the Elderly (HHIE): Change over 3months|International Outcome Inventory for Hearing Aids (IOI-HA): Change over 2months|Self-Assessment of Communication (SAC): Change over 3months|Satisfaction with Amplification in Daily Life (SADL): Change over 2months|Significant Other Assessment of Communication (SOAC): Change over 3months|Significant Other Scale for Hearing Disability (SOS-Hear): Change over 3months|Words-in-noise test (WIN): Change over 3months|Dichotic digits test (DDT): Change over 3months|Montreal Cognitive Assessment (MoCA): Change over 3months|Hopkins Verbal-Learning Test (HVLT): Change over 3months|Brief Visuospatial Memory Test-R (BVMT): Change over 3months|Behavioural Pathology in Alzheimer's disease (BEHAVE-AD): Change over 3months|Neuropsychiatric Inventory Brief (NPI-Q): Change over 3months|Positive and Negative Affect Schedule (PANAS): Change over 3months|Geriatric Depression Scale- Short Form (GDS-S): Change over 3months|Bristol Activities of Daily Living Scale: Change over 3months|Activity and Social Participation Assessment: Change over 3months|Quality of Life in Alzheimer's disease: Change over 3months|Practical Hearing Test- Revised: Change over 2months|Measure of Audiologic Rehabilitation Selfâ€êEfficacy for Hearing Aids: Change over 3months|Perception of Conversation Index- Dementia of the Alzheimer Type: Change over 3months|Relationship Satisfaction Questionnaire (RAS): Change over 3months|Social Support Questionnaire: Change over 3months|Zarit Burden Interview- Short Form: Change over 3months|Short-Form Health Survey-12 items: Change over 3months|Hours of hearing aid use: Change over 3months,http://ClinicalTrials.gov/show/NCT02294513
10,NCT02281513,Activity and Nutrition Trial in Lupus to Energize and Renew,"Active, not recruiting",No Results Available,Systemic Lupus Erythematosus|Physical Activity|Sleep,Other: Smartphone Application|Other: Fitbit Activity Monitor|Other: Coaching Sessions,Northwestern University,Both,Adult|Senior,Phase 1,12,Other,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label,STU 69201,22-Oct-14,Oct-14,Jan-15,22-Dec-14,Dec-14,No Study Results Posted,ANTLER,Dec-14,"Measurement of Fatigue|PA, Diet Assessments and Sleep",http://ClinicalTrials.gov/show/NCT02281513
