Date,Value
2013-12-31,721691798.0
2012-12-31,700862129.0
2011-12-31,679766865.0
2010-12-31,658498663.0
2009-12-31,637407288.0
2008-12-31,616481190.0
2007-12-31,595670841.0
2006-12-31,575118254.0
2005-12-31,554367818.0
2004-12-31,533257098.0
2003-12-31,512473984.0
2002-12-31,491993700.0
2001-12-31,471767321.0
2000-12-31,452999147.0
1999-12-31,436766058.0
1998-12-31,420606126.0
1997-12-31,404485562.0
1996-12-31,388593258.0
1995-12-31,373035157.0
1994-12-31,357836540.0
1993-12-31,342961393.0
1992-12-31,328521540.0
1991-12-31,314301034.0
1990-12-31,300165618.0
1989-12-31,287504237.0
1988-12-31,275121076.0
1987-12-31,262976051.0
1986-12-31,251325056.0
1985-12-31,240414890.0
1984-12-31,230206255.0
1983-12-31,220472140.0
1982-12-31,210823843.0
1981-12-31,199949784.0
1980-12-31,189947471.0
1979-12-31,180399661.0
1978-12-31,171153535.0
1977-12-31,165293316.0
1976-12-31,162497601.0
1975-12-31,159452730.0
1974-12-31,155688522.0
1973-12-31,151552570.0
1972-12-31,148131235.0
1971-12-31,145443877.0
1970-12-31,142386810.0
1969-12-31,139527262.0
1968-12-31,136747486.0
1967-12-31,134196718.0
1966-12-31,131746910.0
1965-12-31,129348359.0
1964-12-31,127791981.0
1963-12-31,121162226.0
1962-12-31,114685540.0
1961-12-31,110327936.0
1960-12-31,108085352.0
