Date,Value
2013-12-31,53.0504
2012-12-31,51.7756
2011-12-31,50.5008
2010-12-31,49.226
2009-12-31,47.8852
2008-12-31,46.5444
2007-12-31,45.2036
2006-12-31,43.8628
2005-12-31,42.522
2004-12-31,41.193
2003-12-31,39.864
2002-12-31,38.535
2001-12-31,37.206
2000-12-31,35.877
1999-12-31,34.8938
1998-12-31,33.9106
1997-12-31,32.9274
1996-12-31,31.9442
1995-12-31,30.961
1994-12-31,30.0572
1993-12-31,29.1534
1992-12-31,28.2496
1991-12-31,27.3458
1990-12-31,26.442
1989-12-31,25.7284
1988-12-31,25.0148
1987-12-31,24.3012
1986-12-31,23.5876
1985-12-31,22.874
1984-12-31,22.1708
1983-12-31,21.4676
1982-12-31,20.7644
1981-12-31,20.0612
1980-12-31,19.358
1979-12-31,18.9664
1978-12-31,18.5748
1977-12-31,18.1832
1976-12-31,17.7916
1975-12-31,17.4
1974-12-31,17.4
1973-12-31,17.4
1972-12-31,17.4
1971-12-31,17.4
1970-12-31,17.4
1969-12-31,17.5372
1968-12-31,17.6744
1967-12-31,17.8116
1966-12-31,17.9488
1965-12-31,18.086
1964-12-31,17.7094
1963-12-31,17.3328
1962-12-31,16.9562
1961-12-31,16.5796
1960-12-31,16.203
