Year,Games,Plays,PlayPerGame,ToGo,Yds,First%,TO%,TD,FG,First,Int,Fum,Sack,Pass,Rush,Field
1998,476,30891,65,8.700,4.870,0.258,0.026,0.033,0.023,0.258,0.016,0.009,0.039,0.537,0.435,0.029
1999,496,32542,66,8.700,4.860,0.262,0.028,0.032,0.023,0.262,0.017,0.010,0.038,0.554,0.417,0.030
2000,496,32166,65,8.650,4.910,0.263,0.027,0.033,0.023,0.263,0.016,0.011,0.038,0.546,0.426,0.028
2001,496,32012,65,8.610,4.910,0.261,0.027,0.031,0.023,0.261,0.017,0.010,0.037,0.543,0.427,0.030
2002,512,33545,66,8.560,5.010,0.267,0.026,0.034,0.022,0.267,0.016,0.010,0.035,0.551,0.421,0.028
2003,512,33058,65,8.580,4.930,0.261,0.026,0.033,0.023,0.261,0.016,0.010,0.033,0.532,0.439,0.029
2004,512,32856,64,8.580,5.090,0.270,0.026,0.035,0.021,0.270,0.016,0.010,0.036,0.534,0.439,0.026
2005,510,32881,64,8.640,4.910,0.262,0.025,0.033,0.024,0.262,0.015,0.010,0.036,0.535,0.436,0.029
2006,512,32944,64,8.480,5.000,0.266,0.026,0.033,0.023,0.266,0.016,0.010,0.035,0.533,0.439,0.029
2007,512,33104,65,8.450,5.030,0.271,0.026,0.034,0.024,0.271,0.016,0.010,0.033,0.548,0.423,0.029
2008,512,32682,64,8.430,5.140,0.271,0.023,0.034,0.026,0.271,0.014,0.009,0.032,0.537,0.432,0.031
2009,512,33160,65,8.520,5.180,0.269,0.025,0.034,0.023,0.269,0.016,0.009,0.033,0.547,0.425,0.028
2010,512,33291,65,8.590,5.170,0.268,0.024,0.035,0.024,0.268,0.015,0.009,0.034,0.553,0.418,0.029
2011,512,33582,66,8.620,5.290,0.274,0.023,0.034,0.025,0.274,0.015,0.008,0.035,0.554,0.416,0.030
2012,512,33905,66,8.580,5.240,0.278,0.022,0.034,0.025,0.278,0.014,0.008,0.034,0.559,0.411,0.030
2013,508,34064,67,8.590,5.200,0.278,0.022,0.035,0.025,0.278,0.015,0.008,0.038,0.567,0.404,0.029
2014,66,4370,66,8.690,5.220,0.285,0.020,0.034,0.026,0.285,0.012,0.008,0.033,0.561,0.408,0.031
