Year,CPI Value,Salary,Player(s),Adjusted Salary
1874,11.04,2800,Fergus Malone (Chi NA),60041.74
1875,10.64,2200,Rich Higham (Chi NL),48949.17
1876,10.39,4000,Al Spalding (Chi NL),91139.94
1877,10.15,2900,Al Spalding (Chi NL),67638.86
1878,9.67,3700,Bob Ferguson (Chi NL),90581.51
1879,9.67,1800,Frank Flint (Chi NL),44066.68
1880,9.91,1800,Adrian Anson (Chi NL),42999.48
1881,9.91,2000,Jim O'Rourke (Buf NL),47777.19
1882,9.91,2400,Monte Ward (Prov NL),57332.63
1883,9.71,3100,Buck Ewing (NY NL),75579.98
1884,9.51,3100,Buck Ewing (NY NL),77169.46
1885,9.32,4500,Jim O'Rourke (NY NL),114303.86
1886,9.12,4500,Fred Dunlap (StL/Det NL),116810.53
1887,9.22,4500,"Fred Dunlap (Det NL), Charles Radbourne (Bos NL)",115543.6
1888,9.22,5000,"Fred Dunlap (Pit NL), Buck Ewing (NY NL)",128381.78
1889,8.92,5000,"Fred Dunlap (Pit NL), Buck Ewing (NY NL)",132699.55
1890,8.82,4000,Hardy Richardson (Bos PL),107363.27
1891,8.82,2000,Paul Cook (Lou/StL AA),53681.63
1892,8.82,2800,Joe Gunson (Bal NL),75154.29
1895,8.14,2400,Jack Glasscock (Lou/Was NL),69799.31
1899,8.04,1800,Victor Willis (Bos NL),53000.6
1904,8.63,5000,Joe McGinnity (NY NL),137158.75
1906,8.72,8500,Nap Lajoie (Cle AL),230763.3
1907,9.11,8500,Nap Lajoie (Cle AL),220884.3
1908,8.92,8500,Nap Lajoie (Cle AL),225589.24
1909,8.82,9000,Nap Lajoie (Cle AL),241567.35
1910,9.21,9000,Ty Cobb (Det AL),231338.11
1911,9.21,9000,"Ty Cobb (Det AL), Nap Lajoie (Cle AL)",231338.11
1912,9.4,10000,"Roger Bresnahan (StL NL), Jimmy Callahan (Chi AL), Hugh Jennings (Det AL), Honus Wagner (Pit NL)",251846.81
1913,9.6,15000,Fred Clarke (Pit NL),369900
1914,9.69,15000,Ty Cobb (Det AL),366464.4
1915,9.74,15050,Fred Clarke (Pit NL),365798.44
1916,10.64,20000,Ty Cobb (Det AL),444992.48
1917,12.82,20000,Ty Cobb (Det AL),369322.93
1918,15.06,20000,Ty Cobb (Det AL),314390.44
1919,17.3,20000,Ty Cobb (Det AL),273683.24
1920,20.04,20000,"Ty Cobb (Det AL), Babe Ruth (NY AL), Tris Speaker (Cle AL)",236263.47
1921,17.9,25000,Ty Cobb (Det AL),330636.87
1922,16.77,52000,Babe Ruth (NY AL),734065.12
1923,17.07,52000,Babe Ruth (NY AL),721164.15
1924,17.1,52000,Babe Ruth (NY AL),719898.95
1925,17.53,52000,Babe Ruth (NY AL),702240.27
1926,17.7,52000,Babe Ruth (NY AL),695495.59
1927,17.37,70000,Babe Ruth (NY AL),954031.09
1928,17.13,70000,Babe Ruth (NY AL),967397.55
1929,17.13,70000,Babe Ruth (NY AL),967397.55
1930,16.7,80000,Babe Ruth (NY AL),1134064.67
1931,15.23,80000,Babe Ruth (NY AL),1243524.62
1932,13.66,75000,Babe Ruth (NY AL),1299795.02
1933,12.96,52000,Babe Ruth (NY AL),949866.67
1934,13.39,35000,Babe Ruth (NY AL),618802.09
1935,13.73,31000,Lou Gehrig (NY AL),534509.54
1936,13.86,36000,Mickey Cochrane (Det AL),614898.7
1937,14.36,36000,"Mickey Cochrane (Det AL), Lou Gehrig (NY AL)",593488.58
1938,14.09,39000,Lou Gehrig (NY AL),655266.43
1939,13.89,35000,"Lou Gehrig (NY AL), Hank Greenberg (Det AL)",596527
1940,14.03,35000,Hank Greenberg (Det AL),590574.48
1941,14.73,55000,Hank Greenberg (Det AL),883942.97
1942,16.3,43750,Joe DiMaggio (NY AL),635411.04
1943,17.3,27000,Joe Cronin (Bos AL),369472.37
1944,17.6,27000,Joe Cronin (Bos AL),363174.55
1945,18,25000,"Lou Boudreau (Cle AL), Joe Cronin (Bos AL)",328800
1946,19.54,55000,Hank Greenberg (Det AL),666350.05
1947,22.34,70000,Hal Newhouser (Det AL),741786.93
1948,24.08,65000,"Joe DiMaggio (NY AL), Ted Williams (Bos AL)",639029.9
1949,23.85,100000,Joe DiMaggio (NY AL),992603.77
1950,24.08,100000,Joe DiMaggio (NY AL),983122.92
1951,25.98,90000,"Joe DiMaggio (NY AL), Ted Williams (Bos AL)",820101.62
1952,26.55,85000,Ted Williams (Bos AL),757911.86
1953,26.75,85000,Ted Williams (Bos AL),752245.23
1954,26.88,85000,Ted Williams (Bos AL),748607.14
1955,26.78,67500,Ted Williams (Bos AL),596702.02
1956,27.18,58000,Yogi Berra (NY AL),505176.16
1957,28.15,65000,Yogi Berra (NY AL),546637.3
1958,28.92,65000,Mickey Mantle (NY AL),532082.99
1959,29.16,75000,Willie Mays (SF NL),608888.89
1960,29.62,80000,Willie Mays (SF NL),639395
1961,29.92,85000,Willie Mays (SF NL),672545.45
1962,30.26,90000,"Mickey Mantle (NY AL), Willie Mays (SF NL)",704105.75
1963,30.62,105000,Willie Mays (SF NL),811798.82
1964,31.03,105000,Willie Mays (SF NL),801072.51
1965,31.56,105000,Willie Mays (SF NL),787619.77
1966,32.46,130000,Sandy Koufax (LA NL),948110.91
1967,33.4,125000,Willie Mays (SF NL),885988.02
