Year,Year-variance,year-variance-squared,Games,Plays,PlayPerGame,ToGo,Yds,First%,TO%,TD,FG,First,Int,Fum,Sack,Pass,Rush,Field,yds-variance,yds-variance-squared,covariance
1998,-8,64,476,30891,65,8.7,4.87,0.258,0.026,0.033,0.023,0.258,0.016,0.009,0.039,0.537,0.435,0.029,-0.186,0.034596,1.488
1999,-7,49,496,32542,66,8.7,4.86,0.262,0.028,0.032,0.023,0.262,0.017,0.01,0.038,0.554,0.417,0.03,-0.196,0.038416,1.372
2000,-6,36,496,32166,65,8.65,4.91,0.263,0.027,0.033,0.023,0.263,0.016,0.011,0.038,0.546,0.426,0.028,-0.146,0.021316,0.876
2001,-5,25,496,32012,65,8.61,4.91,0.261,0.027,0.031,0.023,0.261,0.017,0.01,0.037,0.543,0.427,0.03,-0.146,0.021316,0.73
2002,-4,16,512,33545,66,8.56,5.01,0.267,0.026,0.034,0.022,0.267,0.016,0.01,0.035,0.551,0.421,0.028,-0.046,0.002116,0.184
2003,-3,9,512,33058,65,8.58,4.93,0.261,0.026,0.033,0.023,0.261,0.016,0.01,0.033,0.532,0.439,0.029,-0.126,0.015876,0.378
2004,-2,4,512,32856,64,8.58,5.09,0.27,0.026,0.035,0.021,0.27,0.016,0.01,0.036,0.534,0.439,0.026,0.034,0.001156,-0.068
2005,-1,1,510,32881,64,8.64,4.91,0.262,0.025,0.033,0.024,0.262,0.015,0.01,0.036,0.535,0.436,0.029,-0.146,0.021316,0.146
2006,0,0,512,32944,64,8.48,5,0.266,0.026,0.033,0.023,0.266,0.016,0.01,0.035,0.533,0.439,0.029,-0.056,0.003136,0
2007,1,1,512,33104,65,8.45,5.03,0.271,0.026,0.034,0.024,0.271,0.016,0.01,0.033,0.548,0.423,0.029,-0.026,0.000676,-0.026
2008,2,4,512,32682,64,8.43,5.14,0.271,0.023,0.034,0.026,0.271,0.014,0.009,0.032,0.537,0.432,0.031,0.084,0.007056,0.168
2009,3,9,512,33160,65,8.52,5.18,0.269,0.025,0.034,0.023,0.269,0.016,0.009,0.033,0.547,0.425,0.028,0.124,0.015376,0.372
2010,4,16,512,33291,65,8.59,5.17,0.268,0.024,0.035,0.024,0.268,0.015,0.009,0.034,0.553,0.418,0.029,0.114,0.012996,0.456
2011,5,25,512,33582,66,8.62,5.29,0.274,0.023,0.034,0.025,0.274,0.015,0.008,0.035,0.554,0.416,0.03,0.234,0.054756,1.17
2012,6,36,512,33905,66,8.58,5.24,0.278,0.022,0.034,0.025,0.278,0.014,0.008,0.034,0.559,0.411,0.03,0.184,0.033856,1.104
2013,7,49,508,34064,67,8.59,5.2,0.278,0.022,0.035,0.025,0.278,0.015,0.008,0.038,0.567,0.404,0.029,0.144,0.020736,1.008
2014,8,64,66,4370,66,8.69,5.22,0.285,0.02,0.034,0.026,0.285,0.012,0.008,0.033,0.561,0.408,0.031,0.164,0.026896,1.312
,,20.19900988,,,,,,,,,,,,,,,,,,0.575840256,10.67
,,,,,,,,,,,,,,,,,,,,,0.917344192
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.128%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,line for yr v first,0.001279x-2.298,,,line for yr v yds,0.02615x-47.40436,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4.89564,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(1+2.298)/0.001279,,,,(10+47.40436)/0.02615,,,,,,,,
,,,,,,,,,2578.577013,,,,2195.195411,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,566,,,,,,,,,,,,,,
,,,,,,,0.72448,,,,,,,,,,,,,,
