Rank,NCT Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor/Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL,Locations
1,NCT00997607,Evaluating an Ebola and a Marburg Vaccine in Uganda,Completed,No Results Available,Ebola Virus Disease|Marburg Virus Disease,Biological: Ebola vaccine|Biological: Marburg vaccine|Other: Placebo injection,National Institute of Allergy and Infectious Diseases (NIAID),Both,Adult,Phase 1,108,NIH,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject,  Caregiver)",RV 247,16-Oct-09,Feb-10,Apr-12,25-Jan-13,Jan-13,No Study Results Posted,null,Apr-12,"Safety of Ebola vaccine, as seen in local and systemic reactogenicity signs and symptoms, laboratory measures of safety, and adverse and serious adverse experiences|Safety of Marburg vaccine, as seen in local and systemic reactogenicity signs and symptoms, laboratory measures of safety, and adverse and serious adverse experiences|Immunogenicity of Ebola vaccine, as seen in ELISA antigen-specific assays for antibodies, intracellular cytokine staining (ICS) assay, and an ELISPOT antigen-specific assay for T cell responses|Immunogenicity of Marburg vaccine, as seen in ELISA antigen-specific assays for antibodies, intracellular cytokine staining (ICS) assay, and an ELISPOT antigen-specific assay for T cell responses",http://ClinicalTrials.gov/show/NCT00997607,"United States, Maryland|United States, Virginia"
2,NCT02267109,Phase 1 Trial of Ebola Vaccine in Mali,"Active, not recruiting",No Results Available,Ebola Virus Disease|Hemorrhagic Fever,Biological: Ebola Chimpanzee Adenovirus Vector Vaccine (cAd3-EBO Z),University of Maryland|Wellcome Trust,Both,Adult,Phase 1,40,Other,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,HP-00061513,3-Oct-14,Oct-14,Dec-15,5-Dec-14,Dec-14,No Study Results Posted,null,May-15,Occurrence of solicited local and systemic reactogenicity signs and symptoms|Occurrence of unsolicited adverse events|Change from baseline for safety laboratory measures|Occurrence of serious adverse events and incident chronic medical conditions|Antibody responses as measured by ELISA and neutralization assays|T cell immune responses as measured by intracellular cytokine staining assay,http://ClinicalTrials.gov/show/NCT02267109,
3,NCT02240875,"A Study to Assess New Ebola Vaccines, cAd3-EBO Z and MVA-BNÂ® Filo","Active, not recruiting",No Results Available,Ebola|Ebola Zaire,Biological: cAd3-EBO Z at 1 x 10^10 vp|Biological: cAd3-EBO Z at 2.5 x 10^10 vp|Biological: cAd3-EBO Z at 5 x 10^10 vp|Biological: 4.4x10^8 TCID50s MVA-BNÂ® Filo|Biological: 2.2x10^8 TCID50s MVA-BNÂ® Filo,University of Oxford|Wellcome Trust|National Institute of Allergy and Infectious Diseases (NIAID),Both,Adult,Phase 1,60,Other|NIH,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,EBL01|2014-003518-10,10-Sep-14,Sep-14,May-15,1-Dec-14,Nov-14,No Study Results Posted,null,May-15,Safety and tolerability of the Ebola Zaire vaccine cAd3-EBO Z when administered to healthy volunteers at 3 doses|Cellular and humoral immunogenicity of the Ebola Zaire vaccine cAd3-EBO Z when administered to healthy volunteers at 3 doses,http://ClinicalTrials.gov/show/NCT02240875,
4,NCT02307591,Clinical Study to Assess Efficacy and Safety of Amiodarone in Treating Patients With Ebola. Virus Disease (EVD) in Sierra Leone. EASE (EMERGENCY Amiodarone Study Against Ebola),Not yet recruiting,No Results Available,Ebola Virus Disease,Drug: Best Supportive Care|Drug: Best Supportive Care + Amiodarone,Emergency NGO Onlus,Both,Child|Adult|Senior,Phase 2|Phase 3,132,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,EASE,21-Nov-14,Dec-14,Aug-15,3-Dec-14,Nov-14,No Study Results Posted,EASE,Jul-15,All cause mortality|Adverse events|Viral load|Lymphocyte count|IgM anti-Ebola virus antibody titer|IgG anti-Ebola virus antibody titer|Serum concentration of amiodarone|Vital status,http://ClinicalTrials.gov/show/NCT02307591,
5,NCT00374309,Experimental Vaccine for Prevention of Ebola Virus Infection,Completed,No Results Available,"Ebola Hemorrhagic Fever|Ebola Virus Disease|Ebola Virus Vaccines|Envelope Glycoprotein, Ebola Virus|Filovirus",Drug: VRC-EBOADV018-00-VP,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),Both,Adult,Phase 1,48,NIH,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double-Blind,060237|06-I-0237,8-Sep-06,Sep-06,May-09,6-May-09,May-09,No Study Results Posted,null,null,"Safety (local and systemic reactogenicity, lab tests, AE's).|Immunogenicity (cellular and humoral immune function assays).",http://ClinicalTrials.gov/show/NCT00374309,
6,NCT02283099,"Phase I Trial to Assess the Safety, Tolerability and Immunogenicity of a Ebola Virus Vaccine (rVSVÎ”G-ZEBOV-GP)",Recruiting,No Results Available,"Hemorrhagic Fever, Ebola",Biological: rVSVÎ”-ZEBOV-GP,"UniversitAotsklinikum Hamburg-Eppendorf|DZIF - Deutsches Zentrum fA4r Infektionsforschung|Philipps UniversitAot Marburg|World Health Organization|Clinical Trial Center North|University Hospital, Geneva|Albert Schweitzer Hospital|Institute of Tropical Medicine, University of TA4bingen|Wellcome Trust|KEMRI-Wellcome Trust Collaborative Research Program",Both,Adult,Phase 1,30,Other,Interventional,Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,UKE-DZIF2-VSV{Delta}G/ZEBOVGP,31-Oct-14,Nov-14,Sep-15,16-Nov-14,Nov-14,No Study Results Posted,null,Sep-15,The number of adverse events associated with the rVSVÎ”-ZEBOV-GP (BPSC1001) vaccine will be collected and measured|ZEBOV-GP-specific antibody responses|To evaluate vaccine viremia and excretion,http://ClinicalTrials.gov/show/NCT02283099,
7,NCT00605514,Ebola and Marburg Virus Vaccines,Completed,No Results Available,Ebola Vaccines|Marburg Virus Disease|Ebola Virus Disease|Marburgvirus|Ebolavirus,Drug: VRC-EBODNA023-00-VP|Drug: VRC-MARDNA025-00-VP,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),Both,Adult,Phase 1,20,NIH,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,080065|08-I-0065,29-Jan-08,Jan-08,Jun-10,22-Jun-10,Jun-10,No Study Results Posted,null,Jun-10,"Safety (local and systemic reactogenicity, lab tests, AEs)|Immunogenicity (cellular and humoral immune function assays)",http://ClinicalTrials.gov/show/NCT00605514,
8,NCT02231866,"Safety, Tolerability, and Immunogenicity of the Ebola Chimpanzee Adenovirus Vector Vaccine (cAd3-EBO), VRC-EBOADC069-00-VP, in Healthy Adults",Recruiting,No Results Available,Healthy Adult Immune Responses to Vaccine,Biological: VRC-EBOADC069-00-VP|Biological: VRC-EBOADC076-00-VP,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),Both,Adult,Phase 1,26,NIH,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,140183|14-I-0183,3-Sep-14,Aug-14,Aug-16,9-Dec-14,Aug-14,No Study Results Posted,null,Dec-15,Solicited systemic and local reactogenicity signs and symptoms.|Occurrence of adverse events of all severities.|Occurrence of serious adverse events and new chronic medical conditions.|Antibody responses as measured by ELISA and neutralization assays|T cell immune responses as measure by intracellular cytokine staining (ICS),http://ClinicalTrials.gov/show/NCT02231866,
9,NCT02280408,Safety and Immunogenicity of Prime-Boost VSV Ebola Vaccine in Healthy Adults,Recruiting,No Results Available,Ebola Viruses,Other: Placebo|Biological: BPSC1001,NewLink Genetics Corporation|National Institute of Allergy and Infectious Diseases (NIAID)|BioProtection Systems ,Both,Adult,Phase 1,120,Industry|NIH|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject,  Investigator)",VSV ZEBOV,23-Oct-14,Aug-14,Aug-16,29-Oct-14,Oct-14,No Study Results Posted,null,Dec-15,"Frequency, type and severity of adverse events including local injection site and systemic reactogenicity signs and symptoms|Number of participants with early discontinuation of vaccinations and reason for discontinuation|Immunogenicity as measured by ELISA and neutralization",http://ClinicalTrials.gov/show/NCT02280408,
10,NCT02314923,"Placebo Controlled, Dose Response, Safety and Immunogenicity Study of VSV Ebola Vaccine in Healthy Adults",Recruiting,No Results Available,Ebola Virus,Biological: BPSC-1001|Other: Placebo,NewLink Genetics Corporation|BioProtection Systems |Department of Health and Human Services,Both,Adult,Phase 1,320,Industry|Other|U.S. Fed,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject,  Investigator,  Outcomes Assessor)",NLG-0507,8-Dec-14,Dec-14,Jan-16,8-Dec-14,Dec-14,No Study Results Posted,null,Feb-15,"Frequency, type and severity of adverse events including local injection site and systemic reactogenicity signs and symptoms|Evaluation of ZEBOV- specific antibody response by BPSC-1001|Define optimum dose for general use prophylaxis with BPSC-1001|Evaluate vaccine viremia after administration of BPSC-1001",http://ClinicalTrials.gov/show/NCT02314923,
