Date,Total Enrollment,Male Enrollment,Female Enrollment,Male Percentage,Female Percentage
2011-12-31,99707841.0,53653347.0,46054494.0,53.810559392215,46.189440607785
2010-12-31,101018623.0,54310891.0,46707732.0,53.763246208573,46.236753791427
2009-12-31,103617063.0,55586460.0,48030603.0,53.64604862425,46.35395137575
2008-12-31,105950505.0,56720118.0,49230387.0,53.53454237901,46.46545762099
2007-12-31,107394752.0,57314886.0,50079866.0,53.368423440281,46.631576559719
2006-12-31,108925227.0,57961729.0,50963498.0,53.2124013843,46.7875986157
2003-12-31,121662360.0,64248307.0,57414053.0,52.808696954424,47.191303045576
2002-12-31,125756891.0,66219142.0,59537749.0,52.656471922481,47.343528077519
2001-12-31,130132548.0,68186946.0,61945602.0,52.39807184902,47.60192815098
1998-12-31,140272002.0,73496666.0,66775336.0,52.395820229328,47.604179770672
1997-12-31,136150042.0,71479908.0,64670134.0,52.500834336871,47.499165663129
1996-12-31,131951477.0,69540706.0,62410771.0,52.701726104968,47.298273895032
1995-12-31,128226233.0,67873232.0,60353001.0,52.932407364724,47.067592635276
1994-12-31,124212400.0,66053400.0,58159000.0,53.177782572432,46.822217427568
1993-12-31,122012800.0,65156800.0,56856000.0,53.401610322851,46.598389677149
1992-12-31,121641500.0,65095100.0,56546400.0,53.513891229556,46.486108770444
1991-12-31,122413800.0,65858600.0,56555200.0,53.799980067607,46.200019932393
1990-12-31,123731000.0,66961600.0,56769400.0,54.118692971042,45.881307028958
1989-12-31,125357800.0,68202000.0,57155800.0,54.4058686416,45.5941313584
1988-12-31,128358500.0,70140900.0,58217600.0,54.644530747866,45.355469252134
1987-12-31,131825000.0,72325300.0,59499700.0,54.864631139769,45.135368860231
1986-12-31,133701800.0,73839600.0,59862200.0,55.227079964518,44.772920035482
1985-12-31,135571200.0,76194000.0,59377200.0,56.202202237643,43.797797762357
1984-12-31,135780400.0,76408200.0,59372200.0,56.273364933378,43.726635066622
1983-12-31,139720400.0,78721600.0,60998800.0,56.342237783459,43.657762216541
1982-12-31,143328000.0,80316000.0,63012000.0,56.036503683858,43.963496316142
1981-12-31,146270000.0,81096000.0,65174000.0,55.44267450605,44.55732549395
1980-12-31,146629400.0,80855400.0,65774000.0,55.142693075195,44.857306924805
1979-12-31,146240000.0,80536000.0,65704000.0,55.071115973742,44.928884026258
1978-12-31,146176000.0,79855000.0,66321000.0,54.62935091944,45.37064908056
1977-12-31,150055000.0,81822000.0,68233000.0,54.528006397654,45.471993602346
1976-12-31,150941000.0,82698000.0,68243000.0,54.788294764179,45.211705235821
1975-12-31,144814000.0,81506000.0,63308000.0,56.283232284171,43.716767715829
