fips,name,population,population18To34,population18To34_me,population18To34_p,population18To34_pme,white,white_me,white_p,white_pme,minority,minority_me,minority_p,minority_pme,neverMarried,neverMarried_me,neverMarried_p,neverMarried_pme,liveAlone,liveAlone_me,liveAlone_p,liveAlone_pme,educationBachelor,educationBachelor_me,educationBachelor_p,educationBachelor_pme,civilian,veteran,veteran_me,veteran_p,veteran_pme,foreignBorn,foreignBorn_me,foreignBorn_p,foreignBorn_pme,otherLanguage,otherLanguage_me,otherLanguage_p,otherLanguage_pme,medianEarnings,medianEarnings_me,povertyUniverse,poverty,poverty_me,poverty_p,poverty_pme,employed,employed_me,employed_p,employed_pme,commuter,droveToWork,droveToWork_me,droveToWork_p,droveToWork_pme,liveWithParent,liveWithParent_me,liveWithParent_p,liveWithParent_pme
10100,"Aberdeen, SD",41033,9215,218,22.458,0.53128,8165,77,88.61,1.82,1050,192,11.39,1.83,5480,389,59.47,3.88,930,195,10.09,2.14,1915,295,20.78,3.17,9175,140,60,1.53,0.64,345,136,3.74,1.44,550,190,5.97,2.01,32540,,8360,1335,275,15.97,3.2,7245,323,78.62,3.14,7235,6440,313,89.01,2.4,1425,318,15.46,3.41
10140,"Aberdeen, WA",72092,14620,104,20.28,0.14426,10775,26,73.7,0.52,3845,102,26.3,0.52,9060,469,61.97,3.09,655,180,4.48,1.23,1090,215,7.46,1.46,14565,335,147,2.3,1.01,1530,190,10.47,1.3,2095,169,14.33,1.13,31235,,13315,3520,459,26.44,3.42,7945,417,54.34,2.89,7835,6935,364,88.51,2.37,4035,583,27.6,3.95
10180,"Abilene, TX",166202,45640,439,27.461,0.26414,28480,78,62.4,0.6,17160,438,37.6,0.61,27780,966,60.87,1.97,3240,405,7.1,0.88,6400,613,14.02,1.34,43050,2325,393,5.4,0.91,2570,344,5.63,0.74,7190,548,15.75,1.13,26977,,37965,8965,814,23.61,2.1,26085,907,57.15,2.2,28290,25730,929,90.95,1.38,8445,710,18.5,1.63
10220,"Ada, OK",37700,9765,71,25.902,0.18833,6210,21,63.59,0.46,3555,70,36.41,0.45,5500,351,56.32,3.61,860,171,8.81,1.75,1690,234,17.31,2.4,9725,210,84,2.16,0.87,320,103,3.28,1.04,595,127,6.09,1.3,29167,,9035,2435,267,26.95,2.81,6925,295,70.92,3.06,6820,6320,316,92.67,1.57,1835,229,18.79,2.34
10260,"Adjuntas, PR",19334,4475,,23.146,,10,21,0.22,0.49,4465,21,99.78,0.49,2985,174,66.7,3.89,130,65,2.91,1.46,730,145,16.31,3.23,4475,15,22,0.34,0.49,0,20,,,4230,103,94.53,2.3,16833,,4470,2680,258,59.96,5.75,1455,214,32.51,4.79,1450,1300,224,89.66,5.53,2740,217,61.23,4.84
10300,"Adrian, MI",99505,20515,93,20.617,0.09346,17165,14,83.67,0.4,3350,97,16.33,0.4,13525,415,65.93,2.03,1150,221,5.61,1.08,2385,290,11.63,1.43,20515,495,139,2.41,0.68,560,169,2.73,0.82,1015,203,4.95,0.99,29204,,18095,3835,397,21.19,2.24,12960,513,63.17,2.51,12720,11375,465,89.43,1.83,6550,484,31.93,2.38
10380,"Aguadilla-Isabela, PR",335269,75070,,22.391,,1260,255,1.68,0.34,73810,255,98.32,0.33,50380,923,67.11,1.23,1525,291,2.03,0.39,12985,829,17.3,1.1,75035,615,180,0.82,0.24,0,30,,,72760,326,96.92,0.43,16582,,74290,41785,1198,56.25,1.62,28225,1044,37.6,1.39,27705,25670,1055,92.65,1.3,42455,1214,56.55,1.62
10420,"Akron, OH",704979,160885,179,22.821,0.02539,127475,143,79.23,0.12,33405,216,20.76,0.12,114245,1466,71.01,0.92,13680,885,8.5,0.55,36705,1408,22.81,0.88,160615,3570,450,2.22,0.28,8055,548,5.01,0.34,11040,725,6.86,0.45,32175,,152145,35070,1371,23.05,0.88,108835,1358,67.65,0.84,106265,98405,1377,92.6,0.61,49145,1345,30.55,0.84
10460,"Alamogordo, NM",64767,15760,153,24.333,0.23623,7515,68,47.68,0.7,8245,182,52.32,0.7,7940,541,50.38,3.38,815,253,5.17,1.6,1290,299,8.19,1.89,13790,1230,315,8.92,2.23,2330,390,14.78,2.45,4645,401,29.47,2.56,25969,,14260,3530,522,24.75,3.55,7720,424,48.98,2.66,9545,8860,514,92.82,2.27,3995,614,25.35,3.87
10500,"Albany, GA",157177,37535,237,23.881,0.15079,12955,117,34.51,0.34,24580,238,65.49,0.34,26420,762,70.39,1.92,2475,326,6.59,0.86,3460,418,9.22,1.11,37145,1060,218,2.85,0.59,1150,256,3.06,0.67,1740,250,4.64,0.66,25954,,34625,11280,842,32.58,2.26,19850,729,52.88,1.92,19595,17755,633,90.61,1.55,11025,710,29.37,1.88
10540,"Albany, OR",117648,24580,154,20.893,0.1309,20545,27,83.58,0.54,4035,158,16.42,0.54,13755,689,55.96,2.76,1180,242,4.8,0.98,3235,382,13.16,1.55,24470,955,252,3.9,1.03,1560,326,6.35,1.33,2430,348,9.89,1.43,31166,,24425,6250,650,25.59,2.61,15175,625,61.74,2.54,15010,13485,710,89.84,2.14,6225,540,25.33,2.25
10580,"Albany-Schenectady-Troy, NY",873238,203990,165,23.36,0.0189,157335,166,77.13,0.1,46655,231,22.87,0.1,150895,1522,73.97,0.75,17405,821,8.53,0.4,59555,1342,29.2,0.66,202460,4155,483,2.05,0.24,16640,974,8.16,0.48,23415,1113,11.48,0.55,37249,,182610,30750,1393,16.84,0.74,138020,1688,67.66,0.82,136430,116410,1723,85.33,0.67,61760,1528,30.28,0.75
10620,"Albemarle, NC",60529,12280,102,20.288,0.16851,9470,29,77.12,0.64,2810,103,22.88,0.65,8035,370,65.43,3.02,500,167,4.07,1.35,1430,271,11.64,2.21,12280,150,82,1.22,0.67,670,143,5.46,1.14,1260,171,10.26,1.35,29925,,11315,2215,337,19.58,2.98,7385,406,60.14,3.24,7215,6930,412,96.05,1.22,4315,392,35.14,3.23
10660,"Albert Lea, MN",31129,5575,73,17.909,0.23451,4530,21,81.26,1.18,1050,77,18.83,1.14,3725,215,66.82,3.95,560,127,10.04,2.24,515,105,9.24,1.87,5575,110,75,1.97,1.35,260,120,4.66,2.14,540,165,9.69,2.91,30214,,5515,840,169,15.23,3.07,4415,162,79.19,2.81,4290,3975,185,92.66,1.9,1675,194,30.04,3.55
10700,"Albertville, AL",93699,19705,80,21.03,0.08538,14860,8,75.41,0.31,4840,81,24.56,0.32,10195,596,51.74,2.99,590,157,2.99,0.8,1965,325,9.97,1.65,19700,415,123,2.11,0.62,3680,187,18.68,0.95,4105,204,20.83,1.02,25215,,19425,4555,506,23.45,2.58,12450,529,63.18,2.64,12070,11695,507,96.89,1.09,6805,574,34.53,2.9
10740,"Albuquerque, NM",893241,212040,216,23.738,0.02418,72915,133,34.39,0.07,139125,261,65.61,0.07,138385,2160,65.26,1.02,17275,987,8.15,0.47,37985,1305,17.91,0.62,210370,7055,599,3.35,0.28,24685,1657,11.64,0.78,65215,2120,30.76,1,30862,,207050,47570,1857,22.98,0.89,139235,1822,65.66,0.85,138145,125385,1938,90.76,0.66,61085,1656,28.81,0.78
10780,"Alexandria, LA",154147,34505,156,22.384,0.1012,20285,20,58.79,0.27,14220,158,41.21,0.27,22275,730,64.56,2.1,2105,338,6.1,0.98,4030,445,11.68,1.29,34220,1285,314,3.76,0.92,1010,223,2.93,0.64,2200,315,6.38,0.9,26396,,31515,6900,704,21.89,2.18,20890,709,60.54,1.97,20635,19120,772,92.66,1.66,12125,707,35.14,2.02
10820,"Alexandria, MN",36264,7010,64,19.33,0.17648,6800,18,97,0.88,210,65,3,0.89,3785,285,53.99,4.1,625,158,8.92,2.24,1245,235,17.76,3.33,7000,145,75,2.07,1.08,60,38,0.86,0.54,160,56,2.28,0.8,32332,,6935,1435,290,20.69,4.2,5580,236,79.6,3.31,5515,5225,250,94.74,1.65,935,247,13.34,3.53
10860,"Alice, TX",41217,9075,71,22.018,0.17226,1390,27,15.32,0.13,7685,71,84.68,0.13,5245,417,57.8,4.6,305,149,3.36,1.64,655,170,7.22,1.86,9040,205,130,2.27,1.44,320,139,3.53,1.53,4150,421,45.73,4.66,30801,,8935,1955,336,21.88,3.76,5360,387,59.06,4.27,5225,5090,365,97.42,1.56,3465,457,38.18,5.04
10900,"Allentown-Bethlehem-Easton, PA-NJ",823731,168645,167,20.473,0.02027,119230,215,70.7,0.14,49415,270,29.3,0.14,116310,1300,68.97,0.78,9355,580,5.55,0.34,39930,1126,23.68,0.66,168515,3295,442,1.96,0.26,16400,944,9.72,0.56,34395,1203,20.39,0.71,35298,,155400,23575,1266,15.17,0.81,113305,1512,67.19,0.9,110610,99305,1667,89.78,0.7,60795,1498,36.05,0.88
10940,"Alma, MI",42148,10360,187,24.58,0.44367,8170,5,78.86,1.42,2190,189,21.14,1.44,7340,375,70.85,2.92,585,176,5.65,1.73,840,157,8.11,1.57,10355,105,42,1.01,0.42,225,79,2.17,0.74,665,176,6.42,1.64,26026,,6950,2080,376,29.93,3.83,5105,314,49.28,3.27,5020,4330,414,86.25,5.21,1800,353,17.37,3.57
